DateTime, MainStage, SubStage, MetaData, CPU (%), Used Memory (MB), Max Heap (MB)
Wed Sep 10 09:33:24 IST 2025, <not set>, <not set>, <not set>, 0.00, 48.79, 4294.97
Wed Sep 10 09:33:24 IST 2025, Language detection, <not set>, Started, 20.22, 36.13, 4294.97
Wed Sep 10 09:33:24 IST 2025, Language detection, <not set>, Done, 0.00, 0.00, 4294.97
Wed Sep 10 09:33:24 IST 2025, Processing rules, <not set>, Started, 16.01, 40.34, 4294.97
Wed Sep 10 09:33:25 IST 2025, Processing rules, <not set>, <not set>, 23.59, 71.21, 4294.97
Wed Sep 10 09:33:26 IST 2025, Processing rules, <not set>, <not set>, 23.13, 37.91, 4294.97
Wed Sep 10 09:33:27 IST 2025, Processing rules, <not set>, <not set>, 31.81, 62.86, 4294.97
Wed Sep 10 09:33:28 IST 2025, Processing rules, <not set>, <not set>, 26.26, 58.01, 4294.97
Wed Sep 10 09:33:29 IST 2025, Processing rules, <not set>, <not set>, 27.03, 34.40, 4294.97
Wed Sep 10 09:33:29 IST 2025, Processing rules, <not set>, Done, 26.36, 52.88, 4294.97
Wed Sep 10 09:33:29 IST 2025, Delombok, <not set>, Started, 22.03, 59.56, 4294.97
Wed Sep 10 09:33:29 IST 2025, Delombok, <not set>, Done, 0.00, 0.00, 4294.97
Wed Sep 10 09:33:29 IST 2025, Base source processing, <not set>, Started, 18.64, 65.85, 4294.97
Wed Sep 10 09:33:30 IST 2025, Base source processing, <not set>, <not set>, 17.83, 73.91, 4294.97
Wed Sep 10 09:33:31 IST 2025, Base source processing, <not set>, <not set>, 13.36, 56.45, 4294.97
Wed Sep 10 09:33:32 IST 2025, Base source processing, io.joern.x2cpg.passes.frontend.MetaDataPass, Started, 15.60, 84.84, 4294.97
Wed Sep 10 09:33:32 IST 2025, Base source processing, io.joern.x2cpg.passes.frontend.MetaDataPass, Done, 0.00, 0.00, 4294.97
Wed Sep 10 09:33:32 IST 2025, Base source processing, <not set>, <not set>, 19.93, 110.98, 4294.97
Wed Sep 10 09:33:33 IST 2025, Base source processing, <not set>, <not set>, 19.15, 92.33, 4294.97
Wed Sep 10 09:33:34 IST 2025, Base source processing, <not set>, <not set>, 19.72, 120.64, 4294.97
Wed Sep 10 09:33:35 IST 2025, Base source processing, <not set>, <not set>, 17.15, 115.78, 4294.97
Wed Sep 10 09:33:36 IST 2025, Base source processing, <not set>, <not set>, 20.11, 93.98, 4294.97
Wed Sep 10 09:33:37 IST 2025, Base source processing, <not set>, <not set>, 16.11, 117.05, 4294.97
Wed Sep 10 09:33:38 IST 2025, Base source processing, <not set>, <not set>, 18.93, 105.76, 4294.97
Wed Sep 10 09:33:39 IST 2025, Base source processing, <not set>, <not set>, 19.01, 90.67, 4294.97
Wed Sep 10 09:33:40 IST 2025, Base source processing, <not set>, <not set>, 16.02, 123.42, 4294.97
Wed Sep 10 09:33:41 IST 2025, Base source processing, <not set>, <not set>, 20.11, 114.63, 4294.97
Wed Sep 10 09:33:42 IST 2025, Base source processing, <not set>, <not set>, 16.96, 111.38, 4294.97
Wed Sep 10 09:33:43 IST 2025, Base source processing, <not set>, <not set>, 18.80, 113.28, 4294.97
Wed Sep 10 09:33:44 IST 2025, Base source processing, <not set>, <not set>, 16.27, 129.03, 4294.97
Wed Sep 10 09:33:45 IST 2025, Base source processing, <not set>, <not set>, 18.03, 123.07, 4294.97
Wed Sep 10 09:33:46 IST 2025, Base source processing, <not set>, <not set>, 17.15, 135.00, 4294.97
Wed Sep 10 09:33:47 IST 2025, Base source processing, <not set>, <not set>, 17.80, 155.88, 4294.97
Wed Sep 10 09:33:48 IST 2025, Base source processing, <not set>, <not set>, 16.32, 174.26, 4294.97
Wed Sep 10 09:33:49 IST 2025, Base source processing, <not set>, <not set>, 17.72, 184.91, 4294.97
Wed Sep 10 09:33:50 IST 2025, Base source processing, <not set>, <not set>, 18.59, 136.90, 4294.97
Wed Sep 10 09:33:51 IST 2025, Base source processing, <not set>, <not set>, 17.25, 162.07, 4294.97
Wed Sep 10 09:33:52 IST 2025, Base source processing, <not set>, <not set>, 17.63, 187.23, 4294.97
Wed Sep 10 09:33:53 IST 2025, Base source processing, <not set>, <not set>, 17.58, 143.93, 4294.97
Wed Sep 10 09:33:54 IST 2025, Base source processing, <not set>, <not set>, 15.25, 161.12, 4294.97
Wed Sep 10 09:33:55 IST 2025, Base source processing, <not set>, <not set>, 18.02, 139.57, 4294.97
Wed Sep 10 09:33:56 IST 2025, Base source processing, <not set>, <not set>, 17.29, 153.20, 4294.97
Wed Sep 10 09:33:57 IST 2025, Base source processing, <not set>, <not set>, 17.86, 197.24, 4294.97
Wed Sep 10 09:33:58 IST 2025, Base source processing, <not set>, <not set>, 19.01, 185.70, 4294.97
Wed Sep 10 09:33:59 IST 2025, Base source processing, <not set>, <not set>, 18.47, 201.01, 4294.97
Wed Sep 10 09:34:00 IST 2025, Base source processing, <not set>, <not set>, 19.93, 171.45, 4294.97
Wed Sep 10 09:34:01 IST 2025, Base source processing, <not set>, <not set>, 19.97, 184.09, 4294.97
Wed Sep 10 09:34:02 IST 2025, Base source processing, <not set>, <not set>, 16.86, 199.86, 4294.97
Wed Sep 10 09:34:03 IST 2025, Base source processing, <not set>, <not set>, 20.06, 183.07, 4294.97
Wed Sep 10 09:34:04 IST 2025, Base source processing, <not set>, <not set>, 21.17, 198.57, 4294.97
Wed Sep 10 09:34:05 IST 2025, Base source processing, <not set>, <not set>, 19.74, 174.94, 4294.97
Wed Sep 10 09:34:06 IST 2025, Base source processing, <not set>, <not set>, 17.54, 192.93, 4294.97
